Time,Iter,Assembly_ID,Mass,Altitude,Distance,Velocity,FlightPathAngle,HeadingAngle,Latitude,Longitude,AngleAttack,AngleSideslip,ECEF_X,ECEF_Y,ECEF_Z,ECEF_vU,ECEF_vV,ECEF_vW,BODY_COM_X,BODY_COM_Y,BODY_COM_Z,Aero_Fx_B,Aero_Fy_B,Aero_Fz_B,Aero_Mx_B,Aero_My_B,Aero_Mz_B,Lift,Drag,Crosswind,Inertia_xx,Inertia_xy,Inertia_xz,Inertia_yy,Inertia_yz,Inertia_zz,Roll,Pitch,Yaw,distRoll,distPitch,distYaw,VelRoll,VelPitch,VelYaw,magnitudeOmega,angularMomentum_x,angularMomentum_y,angularMomentum_z,magnitudeAngularMomentum,Quat_w,Quat_x,Quat_y,Quat_z,Quat_prev_w,Quat_prev_x,Quat_prev_y,Quat_prev_z,Mach,Speedsound,Density,Temperature,Pressure,SpecificHeatRatio,qmax,Tmax,knudsen,N2_mass_pct,O2_mass_pct,O_mass_pct,He_mass_pct,Ar_mass_pct,N_mass_pct,H_mass_pct,Qstag,Qradstag,Pstag,Tstag,Rhostag,Aref,Lref,Temperature_obj_0,Mass_obj_0
0,0,1,286.35420111966,80000.00000000186,0,8000.000000000001,-2.0,0.0,0.0,0.0,0.0,0.0,6458137.000000002,2.771e-09,4.87e-10,-279.195973620008,0.0,7995.126616152766,4.35e-10,2.771e-09,-1.49e-09,-803.907900850389,-2.57055e-07,4.861657e-06,-5.105e-09,3.97584e-07,6.37783e-07,-4.861657e-06,803.907900850389,-2.57055e-07,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,-0.0,-2.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,5.590169943749,5.919621335542,2.959810671258,4.155e-09,6.618337855225,0.694658370459,0.0,-0.719339800339,0.0,0.694658370459,0.0,-0.719339800339,0.0,27.582699424108,290.036876992817,1.3037552e-05,208.7,0.781984073685,1.402505547335,321141.92540963483,300.0,0.003073796605,0.763537904147,0.223502375653,4.904907e-06,7.64689e-07,0.012954016507,3.4092e-08,5e-12,,,767.410087397463,32163.629023627786,8.3020062e-05,1.0,1.541288137436,300.0,286.35420111966
0.25,1,1,286.35420111966,79930.51237821716,0,7999.381588296357,-1.99930763927,7.2956384e-05,0.017851153967,0.0,0.64195457134,0.007261289463,6458067.201006597,2.771e-09,1998.781654038679,-281.552086070428,0.010179645511,7994.425196216454,4.35e-10,2.771e-09,-1.49e-09,-811.672272360563,-0.103004720185,-9.109944349832,1.62662e-06,0.008195844394,-0.000237445273,0.013734520431,811.723400689121,0.000203870179,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,1.249751744572,-1.357229389989,0.00681859146,1.249999999721,0.625000021008,3.3653e-08,4.999999998884,2.500000084031,1.34611e-07,5.590169980331,5.91962133422,2.959810770745,1.63525e-07,6.618337898534,0.698529813073,0.007576983863,-0.715497817442,0.007846196477,0.698581760445,0.007577547338,-0.71555102667,0.007846779973,27.571098960776,290.136479495312,1.3174265e-05,208.844574196148,0.790726900219,1.402505430933,322766.94051411666,314.148986816406,0.003041921904,0.763495653308,0.223544868875,4.620477e-06,7.64314e-07,0.012954061771,3.125e-08,5e-12,,,775.33765022796,32159.00916736127,8.3890211e-05,1.0,1.541288137436,303.973398596048,286.35420111966
0.5,2,1,286.35420111966,79861.058375866,0,7998.756318825109,-1.998618062017,0.000146535438,0.03570113004,2.2579e-08,1.283539492538,0.028893340682,6457996.812985079,0.002544914149,3997.387953092792,-283.907787325637,0.020444472629,7993.7162206212,4.35e-10,2.771e-09,-1.49e-09,-819.364946685262,-0.413851172485,-18.386626335871,6.567815e-06,0.018873334759,-0.000718592825,0.024763603402,819.57132364649,0.000673330741,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,2.499244857973,-0.714803637341,0.027262789513,2.500000085302,1.250432705076,-1.2467575e-05,5.000000342325,2.501730736274,-5.000491e-05,5.590944473215,5.91962174083,2.961859731934,-5.9197869e-05,6.619254839456,0.70229709254,0.015152277421,-0.711549721398,0.015690643018,0.702401543722,0.015154530988,-0.711655548704,0.015692976655,27.559601539167,290.234831859138,1.3312281e-05,208.987380498498,0.799552586949,1.402505331406,324400.9539169791,324.678009033203,0.003010406826,0.763453953593,0.223586746018,4.351462e-06,7.63944e-07,0.012954156409,2.8569e-08,5e-12,,,783.338106671693,32154.331617664524,8.4768654e-05,1.0,1.541288137436,306.926543315252,286.35420111966
0.75,3,1,286.35420111966,79791.63795057064,0,7998.124163394389,-1.997931315071,0.000220738892,0.053549912729,6.7926e-08,1.924866107463,0.064896827208,6457925.836038248,0.007656032306,5995.817008248092,-286.263074389269,0.030794671869,7992.999661226446,4.35e-10,2.771e-09,-1.49e-09,-826.998969358568,-0.938311871907,-27.828979469432,1.4945578e-05,0.034308883222,-0.001603010267,0.030145495404,827.467598723556,0.00123806211,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,3.74878918843,-0.072587121974,0.061327854583,3.750000517592,1.876861722675,-6.2903721e-05,5.000001729159,2.505716070395,-0.000201744587,5.592730134535,5.919623382738,2.966578065714,-0.000238846151,6.62136892723,0.705962344987,0.022724773588,-0.7074934557,0.023532153908,0.70611984814,0.02272984358,-0.707651300451,0.02353740403,27.548192784935,290.33208188409,1.3451618e-05,209.128629925702,0.808462877466,1.402505246852,326022.2286922642,333.747009277344,0.002979245861,0.763412809696,0.223628011124,4.097139e-06,7.6358e-07,0.012954292412,2.6045e-08,5e-12,,,791.412329945951,32149.596221171272,8.5655493e-05,1.0,1.541288137436,309.467909713586,286.35420111966
1.0,4,1,286.35420111966,79722.25105850809,0,7997.485079908299,-1.997247463791,0.000295567409,0.071397486479,1.36231e-07,2.56617705487,0.115287121046,6457854.27026965,0.015354700273,7994.066923554703,-288.617946303202,0.041230284755,7992.275475903444,4.35e-10,2.771e-09,-1.49e-09,-834.576938112599,-1.682322756428,-37.437947159239,2.6653897e-05,0.056433984754,-0.003132913104,0.026774277018,835.417916379198,0.001591780658,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,4.998694689543,0.569686380017,0.109036717348,5.000001738857,2.505101924724,-0.000197963661,5.000004885059,2.512960808197,-0.00054023976,5.595982591646,5.919627119087,2.97515528661,-0.000639598794,6.625219590139,0.709528469967,0.030293357809,-0.703326108074,0.031369547035,0.709739570605,0.030302370762,-0.70353536337,0.031378880179,27.536858381312,290.428376729271,1.359229e-05,209.268532889803,0.817459542999,1.402505175443,327624.73816003895,341.921997070312,0.00294843368,0.763372225966,0.223668668237,3.856807e-06,7.6322e-07,0.012954462093,2.3672e-08,5e-12,,,799.561186227795,32144.80271991856,8.6550832e-05,1.0,1.541288137436,311.756568948428,286.35420111966
1.25,5,1,286.35420111966,79652.8976538837,0,7996.839021306404,-1.996566593176,0.000371019741,0.08924383564,2.27685e-07,3.207966133607,0.180106867615,6457782.115783074,0.025662271462,9992.135792530564,-290.972404600681,0.05175108494,7991.543617460364,4.35e-10,2.771e-09,-1.49e-09,-842.128241840684,-2.64589774279,-47.122963120592,-2.2754739e-05,-0.024787701029,0.001785593384,-0.085471167034,843.449786780424,-0.002923774813,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,6.249273216059,1.212532736426,0.170454789931,6.250004367184,3.136321307255,-0.00049841179,5.000010513311,2.524877530124,-0.001201792517,5.601349223147,5.919633782516,2.98926378289,-0.001422827147,6.631573275418,0.712999842716,0.037856897305,-0.699043139248,0.039201646449,0.713265094144,0.037870980893,-0.699303198479,0.039216230313,27.52558409794,290.523862921586,1.3734315e-05,209.407299199179,0.826544383115,1.402505115422,329205.2573575954,349.471008300781,0.002917965123,0.763332206413,0.223708721407,3.62979e-06,7.62864e-07,0.012954658074,2.1446e-08,5e-12,,,807.785536378637,32139.95082260156,8.7454772e-05,1.0,1.541288137436,313.868375957012,286.35420111966
1.5,6,1,286.35420111966,79583.57768829304,0,7996.185916539277,-1.995889414824,0.000447065483,0.107088944455,3.42477e-07,3.851080211519,0.259445273215,6457709.372681925,0.038600042697,11990.021696895656,-293.326537249125,0.062352778687,7990.804011519656,4.35e-10,2.771e-09,-1.49e-09,-849.667800188632,-3.851833188885,-57.084407186627,0.000251941927,-0.027067981438,-0.001928024606,-0.121232912374,851.591933990943,-0.01021274094,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,7.500841691017,1.856817778102,0.245711530492,7.500005794268,3.766232133713,-0.000704597498,5.000005708334,2.519643305828,-0.000824742829,5.598987422041,5.919628093785,2.983066857724,-0.000976428877,6.62877708177,0.716382891917,0.045414227731,-0.694637700444,0.047027281547,0.716702870356,0.045434512378,-0.694947966211,0.047048286678,27.514355723617,290.618686363637,1.3877709e-05,209.545138061754,0.835719226453,1.402505065101,330761.46545992454,356.549987792969,0.002887835191,0.763292754713,0.223748174694,3.415432e-06,7.62513e-07,0.012954873281,1.9364e-08,4e-12,,,816.086232089599,32135.040052505767,8.8367417e-05,1.0,1.541288137436,315.849688967069,286.35420111966
1.75,7,1,286.35420111966,79514.29108907665,0,7995.525669462941,-1.995215481231,0.000523687368,0.124932797001,4.80789e-07,4.490915015371,0.353008772415,6457636.041047612,0.054188237369,13987.72269977557,-295.680269502541,0.073032904958,7990.056564501526,4.35e-10,2.771e-09,-1.49e-09,-857.156176095353,-5.291300206819,-67.199968223222,0.000313282451,-0.018791687691,-0.002231677432,-0.134448025454,859.802608491932,-0.012636753825,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,8.753702187847,2.497953246778,0.334580770827,8.750020521492,4.394714026864,-0.001012564678,5.000058908897,2.513927572607,-0.001231868721,5.596465174577,5.919691079221,2.976299862455,-0.001458435104,6.625790931783,0.719650890508,0.052964180546,-0.690137214801,0.054845383741,0.720025991693,0.052991786885,-0.690496932673,0.054873970614,27.503159058344,290.712992369407,1.4022486e-05,209.682258129745,0.844985934313,1.402505022859,332292.034277775,363.260009765625,0.002858039029,0.7632538742,0.22378703218,3.213097e-06,7.62166e-07,0.012955100932,1.7421e-08,4e-12,,,824.464118077022,32130.06973867909,8.9288868e-05,1.0,1.541288137436,317.726151883602,286.35420111966
2.0,8,1,286.35420111966,79445.03779996264,0,7994.85822037781,-1.994544682594,0.000600915927,0.142775377147,6.42793e-07,5.127036306382,0.460903097989,6457562.120980237,0.072446463608,15985.23684090095,-298.033574941732,0.083795668568,7989.301217573936,4.35e-10,2.771e-09,-1.49e-09,-864.595576548531,-6.979045242839,-77.449484797138,0.000649414167,-0.01232453665,-0.006141532017,-0.137474499606,868.08560726777,-0.017619345305,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,10.008158668705,3.135556562627,0.436786543955,10.000051787057,5.022203896717,-0.001438343328,5.000125062258,2.50995947941,-0.0017031146,5.594743079633,5.919769399788,2.971601940623,-0.002016354538,6.623752101782,0.722802877651,0.060507060526,-0.685543166264,0.062653514454,0.723233467281,0.060543105917,-0.685951559461,0.062690838536,27.491980129037,290.806925614409,1.4168664e-05,209.818867421161,0.854346395978,1.40250498714,333796.1828450568,369.669006347656,0.002828571937,0.763215567902,0.223825297956,3.022172e-06,7.61822e-07,0.012955334532,1.5612e-08,4e-12,,,832.920039695738,32125.039506993195,9.0219227e-05,1.0,1.541288137436,319.522030731042,286.35420111966
2.25,9,1,286.35420111966,79375.8177689667,0,7994.183506267962,-1.993876986676,0.000678735217,0.160616668626,8.28675e-07,5.759568304884,0.583048592534,6457487.612586501,0.09339538075,17982.562145294436,-300.386437753278,0.094638791391,7988.537908212246,4.35e-10,2.771e-09,-1.49e-09,-871.972938616718,-8.908286940611,-87.831983487825,0.000139580398,-0.004624187521,-0.000926358584,-0.133560127466,876.430603399758,-0.012865638056,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,11.264508243289,3.769774653742,0.552328511942,11.250117335536,5.649043147658,-0.002188336778,5.000262193916,2.507357003766,-0.002999973801,5.593699147441,5.919931753284,2.968520806552,-0.003551737619,6.622516165123,0.725841173298,0.068041724112,-0.680853605312,0.070450571747,0.726327607497,0.068087323373,-0.681309890365,0.070497785337,27.480805049948,290.9006301576,1.4316259e-05,209.955173346669,0.863802530952,1.402504956453,335273.1948829606,375.828002929688,0.002799429355,0.763177838532,0.223862976123,2.842063e-06,7.61482e-07,0.012955567861,1.3934e-08,4e-12,,,841.454836368082,32119.948962505452,9.1158596e-05,1.0,1.541288137436,321.24774474899,286.35420111966
